ICAO,Name,RWY_true_north(magn_north),coord,(proc;ceil;vis)
EEEI,Amari,71(61);251(241),59.259921;24.2062964,(ILS RWY06;410;550);(LOC RWY06 w/D5.0;410;900);(LOC RWY06 w/o D5.0;640;1900);(VORTAC RWY06 w/D4.1;430;1700);(VORTAC RWY06 w/o D4.1;640;1900);(ILS RWY24;400;600);(LOC RWY24 w/D5.0;400;800);(LOC RWY24 w/o D5.0;570;1600);(VORTAC RWY24 w/D4.2;420;1600);(VORTAC RWY24 w/o D4.2;570;1600)
EETN,Tallinn,90(81);270(261),,(ILS RWY08;331;1900);(LOC RWY08;540;1900);(ILS RWY26;338;2000);(LOC RWY26;560;2000);(CIRC;1510;3600)
EYSA,Siauliai,146(136);326(316),,(ILS RWY32R;641;550);(LOC RWY32R w/D5.6;760;1200);(LOC RWY32R w/o D5.6;1000;1200);(ILS RWY14L;647;550);(LOC RWY14L w/D3.0;830;1700);(LOC RWY14L w/o D3.0;1000;2200);(CIRC;1260;3600)
EVGA,Lielvarde,7(359);187(179),,(ILS RWY18;484;800);(LOC RWY18;570;1400);(VORTAC RWY18;700;2300);(VORTAC RWY36;580;2300);(CIRC;910;3600)
EYKA,Kaunas,85(77);265(257),,(ILS RWY08;536;650);(LOC RWY08;640;1400);(ILS RWY26;542;650);(LOC RWY26;630;1700);(CIRC;NOT AUTHORIZED;NOT AUTHORIZED)
EFHK,Helsinki,48(38);228(218);153(143);333(323),,(ILS RWY04R;352;550);(LOC RWY04R w/D2.0;540;1800);(LOC RWY04R w/o D2.0;790;2400);(ILS RWY22L;349;550);(LOC RWY22L w/D2.0;590;2100);(LOC RWY22L w/o D2.0;790;2400)
EFTP,Tampere,64(54);244(234),,(ILS RWY24;278;1500);(LOC RWY24 w/D2.0;860;2300);(LOC RWY24 w/o D2.0;1010;2400);(CIRC;1200;3600)
EYPA,Palanga,13(7);193(187),,(ILS RWY19;580;1100);(LOC RWY19;580;1800);(CIRC;910;3600)
EYVI,Vilnius,21(13);201(193),,(ILS RWY01;875;600);(LOC RWY01;980;1800);(ILS RWY19;948;650);(LOC RWY19;1050;1900);(CIRC;NOT AUTHORIZED;NOT AUTHORIZED)
EVRA,Riga,5(355);185(175),,(ILS RWY18;233;550);(LOC RWY18;410;1500);(ILS RWY36;237;550);(LOC RWY36;400;1500);(CIRC;740;3600)
